"","Države","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Mexico",1,0,0,0,1,0,0,0,0,0
"2","France",1,0,0,1,0,0,0,1,1,0
"3","Ukraine",1,0,0,0,0,0,0,0,0,0
"4","Ivory Coast",1,0,0,0,0,0,0,0,0,0
"5","Sweden",1,0,0,0,0,0,0,0,0,0
"6","Brazil",2,4,2,2,1,0,3,4,2,3
"7","Spain",1,2,2,6,10,7,6,5,6,5
"8","Uruguay",1,1,0,0,0,0,0,0,0,0
"9","Belarus",1,2,0,0,0,0,0,0,0,0
"10","Venezuela",0,1,0,0,0,0,0,0,0,0
"11","Argentina",0,1,0,0,0,0,0,1,0,0
"12","Mali",0,0,1,0,0,0,0,0,0,0
"13","Netherlands",0,0,1,0,1,1,0,0,0,1
"14","Chile",0,0,0,0,1,0,1,0,0,0
"15","Cameroon",0,0,0,0,1,1,1,0,0,0
"16","Croatia",0,0,0,0,0,1,1,0,0,0
"17","Belgium",0,0,0,0,0,0,1,0,0,1
"18","Turkey",0,0,0,0,0,0,0,1,0,0
"19","Colombia",0,0,0,0,0,0,0,0,1,1
"20","Portugal",0,0,0,0,0,0,0,0,0,1
"21","Ghana",0,0,0,0,0,0,0,0,0,1
