"","Države","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Argentina",1,1,0,0,0,0,0,1,0,0
"2","Belarus",2,4,0,0,0,0,0,0,0,0
"3","Belgium",0,0,0,0,1,0,1,1,0,1
"4","Brazil",5,7,2,4,3,0,3,8,4,5
"5","Cameroon",0,0,1,0,1,2,1,0,0,0
"6","Chile",0,1,0,0,2,0,1,0,1,0
"7","Colombia",0,0,0,0,0,0,0,1,1,1
"8","Croatia",0,0,0,0,1,1,2,0,0,0
"9","Denmark",0,0,0,0,0,0,0,0,0,1
"10","France",1,0,0,1,1,0,2,2,3,1
"11","Germany",0,0,0,0,1,0,0,0,0,0
"12","Ghana",0,0,0,0,0,0,0,0,0,1
"13","Ivory Coast",1,0,0,0,0,0,0,0,0,0
"14","Mali",0,0,1,0,0,0,0,0,0,0
"15","Mexico",1,0,0,0,1,0,0,0,0,0
"16","Netherlands",1,0,1,1,1,2,1,0,0,2
"17","Portugal",0,0,0,0,0,0,1,1,0,1
"18","Spain",3,4,3,11,11,11,10,9,6,7
"19","Sweden",1,0,0,0,0,0,0,0,0,0
"20","Turkey",0,0,0,0,0,1,0,1,0,0
"21","Ukraine",1,0,0,0,0,0,0,0,0,0
"22","Uruguay",2,2,0,0,1,0,0,0,0,0
"23","Venezuela",1,1,0,0,0,0,0,0,0,0
