"","Ime","Polozaj","Klub","Vrednost transferja","Drzavljanstvo"
"1","Emerson","DF","Real Betis","€6,000,000[B]","Brazil"
"2","Marc Cardona","FW","Osasuna","€2,500,000","Spain"
"3","André Gomes","MF","Everton","€25,000,000 [C]","Portugal"
"4","Marc Cucurella","DF","Eibar","€2,000,000","Spain"
"5","Denis Suárez","MF","Celta Vigo","€12,900,000 [D]","Spain"
"6","Thomas Vermaelen","DF","Vissel Kobe","Free transfer[E]","Belgium"
"7","Douglas","DF","Beºiktaº","Free transfer[F]","Brazil"
"8","Jasper Cillessen","GK","Valencia","€35,000,000","Netherlands"
"9","Jeison Murillo","DF","Valencia","Loan Return","Colombia"
"10","Kevin-Prince Boateng","FW","Sassuolo","Loan Return","Ghana"
"11","Sergi Palencia","DF","Saint-Étienne","€2,000,000 [G]","Spain"
"12","Adrián Ortolá","GK","Tenerife","Undisclosed","Spain"
"13","Malcom","FW","Zenit Saint Petersburg","€40,000,000 [H]","Brazil"
